COMPANY_CD_FSK,CUSTOMER_CD_FSK,PRODUCT_CD_FSK,INVOICE_YEAR_MONTH,QUANTITY_PIECES,GROSS_SALES
127,4237,503964,2021-08-01 00:00:00,40,4988.22
127,3030,496415,2021-05-01 00:00:00,20,4982.68
127,3584,504402,2021-06-01 00:00:00,60,4981.72
127,847,500523,2021-04-01 00:00:00,40,4980.4
72,19392432,90943909,2021-08-01 00:00:00,728,4974.639999999999
127,4216,510012,2021-04-01 00:00:00,24,4973.9
127,4462,503677,2021-02-01 00:00:00,120,4970.58
127,508,503603,2021-01-01 00:00:00,78,4967.04
127,2282,499280,2021-07-01 00:00:00,640,4952
127,4462,504953,2021-11-01 00:00:00,2,4925.6
72,19394766,90982285,2021-09-01 00:00:00,4,4887.59
127,4216,490111,2021-10-01 00:00:00,14,4887.38
127,4176,502725,2021-03-01 00:00:00,62,4877.66
213,32351569,154557897,2021-04-01 00:00:00,5600,4872
127,4237,503964,2021-03-01 00:00:00,40,4871.32
127,5392,499061,2021-06-01 00:00:00,76,4857.16
127,1872,511445,2021-05-01 00:00:00,1800,4856.4
127,4216,511413,2021-07-01 00:00:00,40,4855.4
127,2484,497832,2021-04-01 00:00:00,112,4849.16
127,4176,505145,2021-03-01 00:00:00,12,4834.36
127,3584,511289,2021-09-01 00:00:00,292,4811.54
127,3584,496822,2021-10-01 00:00:00,480,4805.04
127,4218,512143,2021-11-01 00:00:00,60,4792.38
213,32353079,154572889,2021-08-01 00:00:00,160,4790.4
127,3584,512725,2021-06-01 00:00:00,4,4765.76
127,3584,512725,2021-07-01 00:00:00,4,4765.76
127,4462,512725,2021-09-01 00:00:00,4,4765.76
127,1281,501361,2021-02-01 00:00:00,120,4761.34
213,32351569,154564665,2021-04-01 00:00:00,7000,4760
127,4176,496822,2021-05-01 00:00:00,480,4748.16
72,19392432,90950066,2021-07-01 00:00:00,236,4741.91
211,3468752,13009190,2021-10-01 00:00:00,6000,4740
127,2433,495349,2021-05-01 00:00:00,100,4735.2
127,3307,499280,2021-07-01 00:00:00,480,4713.6
127,3584,511413,2021-01-01 00:00:00,60,4711.92
127,4216,504438,2021-10-01 00:00:00,20,4705.9
72,19392432,90983167,2021-01-01 00:00:00,160,4705.01
213,32353079,154568646,2021-12-01 00:00:00,720,4701.6
127,4462,504953,2021-09-01 00:00:00,2,4700
241,5664978,22623662,2021-03-01 00:00:00,944,4696.42
127,3584,502287,2021-01-01 00:00:00,30,4693.44
72,19392461,90965250,2021-04-01 00:00:00,4,4686.12
127,847,507324,2021-05-01 00:00:00,24,4684.56
127,4216,511404,2021-04-01 00:00:00,126,4682.3
127,4462,510069,2021-06-01 00:00:00,34,4667.62
127,847,498745,2021-04-01 00:00:00,144,4664.16
127,3584,504402,2021-01-01 00:00:00,60,4659.84
72,19392432,90956800,2021-10-01 00:00:00,104,4657.0599999999995
127,847,503596,2021-04-01 00:00:00,192,4656
127,2484,511413,2021-08-01 00:00:00,40,4644.84
127,3584,496822,2021-04-01 00:00:00,480,4636.8
127,3584,489992,2021-05-01 00:00:00,24,4626.18
127,4176,512136,2021-06-01 00:00:00,384,4624.12
211,3458229,12972560,2021-05-01 00:00:00,2000,4620
127,1872,511445,2021-02-01 00:00:00,1710,4613.58
127,1607,501138,2021-03-01 00:00:00,4,4612.62
211,3468752,12997890,2021-10-01 00:00:00,2880,4608
213,32345328,154564606,2021-05-01 00:00:00,76,4607.12
127,4216,498450,2021-03-01 00:00:00,30,4601.28
213,32348670,154547070,2021-09-01 00:00:00,96,4588.8
72,19394766,90936852,2021-11-01 00:00:00,4,4587.16
127,3584,503027,2021-01-01 00:00:00,160,4583.64
72,19392432,90980295,2021-01-01 00:00:00,600,4582.8
127,3584,506608,2021-04-01 00:00:00,100,4558.5
127,3584,503027,2021-10-01 00:00:00,140,4558.1
72,19392461,90950789,2021-04-01 00:00:00,4,4532.58
213,32353079,154555172,2021-06-01 00:00:00,392,4531.52
211,3481908,13014273,2021-09-01 00:00:00,64,4517.12
127,3584,512136,2021-05-01 00:00:00,384,4515.84
127,4176,512136,2021-04-01 00:00:00,384,4515.84
127,3584,512042,2021-06-01 00:00:00,6,4507.32
211,3468752,12997890,2021-06-01 00:00:00,2880,4478.4
